strain,stress
0,0.2758
0.002228758,0.6853
0.002879281,0.7196
0.002935294,0.76
0.002987092,0.8243
0.003087288,1.0991
0.003287778,1.6171
0.003761732,2.1691
0.004396013,2.7268
0.005120294,3.2858
0.005774444,3.8425
0.006532843,4.3931
0.007183922,4.9372
0.007898072,5.4824
0.00861232,6.0179
0.009312418,6.5468
0.00999585,7.0689
0.010733137,7.5827
0.011410621,8.0873
0.012202843,8.5818
0.012892255,9.0699
0.013547516,9.549
0.01432402,10.0211
0.015018007,10.4837
0.015743627,10.9356
0.016533203,11.3782
0.017198922,11.8088
0.017918039,12.2286
0.018666634,12.6369
0.019425131,13.0387
0.020112647,13.4269
0.020876699,13.8044
0.021604346,14.174
0.022335915,14.5277
0.023060621,14.8721
0.023794542,15.1994
0.02458268,15.5213
0.025304575,15.8305
0.02618781,16.1303
0.02692402,16.4189
0.027625523,16.6934
0.028463922,16.9599
0.029265654,17.2118
0.029986928,17.452
0.030805261,17.681
0.031617222,17.9001
0.032423791,18.11
0.03330719,18.3074
0.033900885,18.4947
0.035005033,18.6716
0.03561718,18.837
0.036445115,18.9904
0.037247672,19.1368
0.03806741,19.2732
0.039006918,19.3993
0.040248333,19.5184
0.040800951,19.6271
0.042070588,19.7302
0.043030621,19.8217
0.043963954,19.9057
0.044944575,19.9824
0.04586549,20.0539
0.046211902,20.1192
0.047122459,20.1761
0.048096525,20.2324
0.049128459,20.2797
0.049498257,20.3208
0.051051016,20.3595
0.052027377,20.3945
0.052368684,20.4235
0.054041311,20.4513
0.054317599,20.4756
0.055319638,20.4965
0.056321711,20.5176
0.057316678,20.5345
0.058309441,20.5472
0.060086721,20.558
0.06035977,20.5713
0.061343882,20.5804
0.062359375,20.5885
0.063350658,20.5948
0.064378914,20.5983
0.065415888,20.5968
0.06644727,20.5757
